
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
216 -15256 -15256 -16882.0
217 -13580 -13580 -15256.0
218 -11859 -11859 -13580.0
219 -10101 -10101 -11859.0
220 -8309 -8309 -10101.0
221 -6491 -6491 -8309.0
222 -4651 -4651 -6491.0
223 -2797 -2797 -4651.0
224 -933 -933 -2797.0
225 933 933 -933.0
226 2797 2797 933.0
227 4651 4651 2797.0
228 6491 6491 4651.0
229 8309 8309 6491.0
230 10101 10101 8309.0
231 11859 11859 10101.0
232 13580 13580 11859.0
233 15256 15256 13580.0
234 16882 16882 15256.0
235 18454 18454 16882.0
236 19966 19966 18454.0
237 21413 21413 19966.0
238 22790 22790 21413.0
239 24093 24093 22790.0
240 25319 25319 24093.0
241 26462 26462 25319.0
242 27519 27519 26462.0
243 28486 28486 27519.0
244 29362 29362 28486.0
245 30142 30142 29362.0
246 30824 30824 30142.0
247 31405 31405 30824.0
248 31885 31885 31405.0
249 32262 32262 31885.0
250 32533 32533 32262.0
251 32699 32699 32533.0
252 32759 32759 32699.0
253 32713 32713 32759.0
254 32560 32560 32713.0
255 32302 32302 32560.0
256 31938 31938 32302.0
257 31471 31471 31938.0
258 30902 30902 31471.0
259 30232 30232 30902.0
260 29464 29464 30232.0
261 28601 28601 29464.0
262 27645 27645 28601.0
263 26599 26599 27645.0
264 25466 25466 26599.0
265 24251 24251 25466.0
266 22957 22957 24251.0
267 21589 21589 22957.0
268 20150 20150 21589.0
269 18646 18646 20150.0
270 17082 17082 18646.0
271 15462 15462 17082.0
272 13792 13792 15462.0
273 12077 12077 13792.0
274 10322 10322 12077.0
275 8535 8535 10322.0
276 6719 6719 8535.0
277 4882 4882 6719.0
278 3029 3029 4882.0
279 1166 1166 3029.0
280 -700 -700 1166.0
281 -2564 -2564 -700.0
282 -4420 -4420 -2564.0
283 -6262 -6262 -4420.0
284 -8083 -8083 -6262.0
285 -9878 -9878 -8083.0
286 -11642 -11642 -9878.0
287 -13367 -13367 -11642.0
288 -15049 -15049 -13367.0
289 -16682 -16682 -15049.0
