
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   141 0.44411966136558895
debug TranLossPrecent   142 0.4415704473533125
debug TranLossPrecent   143 0.43903586564094466
debug TranLossPrecent   144 0.436515832240166
debug TranLossPrecent   145 0.4340102636447439
debug TranLossPrecent   146 0.43151907682776525
debug TranLossPrecent   147 0.42904218923888543
debug TranLossPrecent   148 0.42657951880159267
debug TranLossPrecent   149 0.4241309839104882
debug TranLossPrecent   150 0.4216965034285823
debug TranLossPrecent   151 0.4192759966846054
debug TranLossPrecent   152 0.4168693834703354
debug TranLossPrecent   153 0.41447658403793913
debug TranLossPrecent   154 0.4120975190973302
debug TranLossPrecent   155 0.4097321098135415
debug TranLossPrecent   156 0.40738027780411273
debug TranLossPrecent   157 0.40504194513649316
debug TranLossPrecent   158 0.4027170343254591
debug TranLossPrecent   159 0.40040546833054635
debug TranLossPrecent   160 0.39810717055349726
debug TranLossPrecent   161 0.39582206483572246
debug TranLossPrecent   162 0.39355007545577747
debug TranLossPrecent   163 0.391291127126853
debug TranLossPrecent   164 0.3890451449942806
debug TranLossPrecent   165 0.3868120546330522
debug TranLossPrecent   166 0.3845917820453536
debug TranLossPrecent   167 0.3823842536581126
debug TranLossPrecent   168 0.3801893963205612
debug TranLossPrecent   169 0.3780071373018111
debug TranLossPrecent   170 0.3758374042884442
debug TranLossPrecent   171 0.37368012538211576
debug TranLossPrecent   172 0.37153522909717257
debug TranLossPrecent   173 0.36940264435828346
debug TranLossPrecent   174 0.3672823004980847
debug TranLossPrecent   175 0.3651741272548377
debug TranLossPrecent   176 0.36307805477010135
debug TranLossPrecent   177 0.36099401358641664
debug TranLossPrecent   178 0.3589219346450052
debug TranLossPrecent   179 0.3568617492834812
debug TranLossPrecent   180 0.35481338923357547
debug TranLossPrecent   181 0.3527767866188739
debug TranLossPrecent   182 0.350751873952568
debug TranLossPrecent   183 0.3487385841352184
debug TranLossPrecent   184 0.3467368504525316
debug TranLossPrecent   185 0.3447466065731494
debug TranLossPrecent   186 0.34276778654645035
debug TranLossPrecent   187 0.340800324800365
debug TranLossPrecent   188 0.3388441561392026
debug TranLossPrecent   189 0.33689921574149073
debug TranLossPrecent   190 0.33496543915782767
debug TranLossPrecent   191 0.33304276230874635
debug TranLossPrecent   192 0.3311311214825911
debug TranLossPrecent   193 0.3292304533334065
debug TranLossPrecent   194 0.3273406948788382
debug TranLossPrecent   195 0.3254617834980459
debug TranLossPrecent   196 0.32359365692962827
debug TranLossPrecent   197 0.3217362532695599
debug TranLossPrecent   198 0.3198895109691398
debug TranLossPrecent   199 0.3180533688329521
debug TranLossPrecent   200 0.31622776601683794
debug TranLossPrecent   201 0.3144126420258796
debug TranLossPrecent   202 0.3126079367123955
debug TranLossPrecent   203 0.31081359027394756
debug TranLossPrecent   204 0.30902954325135906
debug TranLossPrecent   205 0.3072557365267447
debug TranLossPrecent   206 0.3054921113215513
debug TranLossPrecent   207 0.30373860919461054
debug TranLossPrecent   208 0.3019951720402016
debug TranLossPrecent   209 0.30026174208612677
debug TranLossPrecent   210 0.29853826189179594
debug TranLossPrecent   211 0.2968246743463242
debug TranLossPrecent   212 0.2951209226666386
debug TranLossPrecent   213 0.2934269503955969
